customerid,amount,frequency,invoicedate,recency,cluster_id
12346.0,0.0,2,2011-01-18 10:17:00,325,2
12347.0,4310.0,182,2011-12-07 15:52:00,1,0
12348.0,1797.24,31,2011-09-25 13:13:00,74,0
12349.0,1757.55,73,2011-11-21 09:51:00,18,0
12350.0,334.4,17,2011-02-02 16:01:00,309,2
12352.0,1545.41,95,2011-11-03 14:37:00,35,0
12353.0,89.0,4,2011-05-19 17:47:00,203,2
12354.0,1079.4,58,2011-04-21 13:11:00,231,2
12355.0,459.4,13,2011-05-09 13:49:00,213,2
12356.0,2811.43,59,2011-11-17 08:40:00,22,0
12357.0,6207.67,131,2011-11-06 16:07:00,32,0
12358.0,1168.06,19,2011-12-08 10:26:00,1,0
12359.0,6245.53,254,2011-12-02 11:21:00,7,0
12360.0,2662.06,129,2011-10-18 15:22:00,51,0
12361.0,189.9,10,2011-02-25 13:51:00,286,2
12362.0,5154.58,274,2011-12-06 15:40:00,2,0
12363.0,552.0,23,2011-08-22 10:18:00,109,0
12364.0,1313.1,85,2011-12-02 10:22:00,7,0
12365.0,320.69,23,2011-02-21 14:04:00,290,2
12367.0,168.9,11,2011-12-05 16:48:00,3,0
12370.0,3545.69,167,2011-10-19 14:51:00,50,0
12371.0,1887.96,63,2011-10-26 10:16:00,44,0
12372.0,1298.04,52,2011-09-29 12:12:00,71,0
12373.0,364.6,14,2011-02-01 13:10:00,310,2
12374.0,742.9300000000001,33,2011-11-14 15:37:00,24,0
12375.0,455.42,18,2011-12-07 11:27:00,2,0
12377.0,1628.12,77,2011-01-28 15:45:00,314,2
12378.0,4008.62,219,2011-08-02 10:34:00,129,0
12379.0,850.29,41,2011-09-19 10:09:00,81,0
12380.0,2720.56,105,2011-11-18 11:27:00,21,0
12381.0,1803.96,91,2011-12-05 12:44:00,4,0
12383.0,1839.31,100,2011-06-08 08:02:00,184,2
12384.0,566.16,30,2011-11-11 08:39:00,28,0
12386.0,401.9,10,2011-01-06 12:37:00,337,2
12388.0,2780.66,100,2011-11-24 12:30:00,15,0
12390.0,549.84,32,2011-09-21 09:33:00,79,0
12391.0,460.89,100,2011-11-18 12:07:00,21,0
12393.0,1582.6000000000001,64,2011-09-28 15:41:00,71,0
12394.0,1272.48,27,2011-10-07 08:08:00,63,0
12395.0,2998.28,159,2011-11-24 12:20:00,15,0
12397.0,2409.9,126,2011-11-04 09:52:00,35,0
12398.0,1635.6599999999999,85,2011-10-25 10:27:00,45,0
12399.0,1108.65,59,2011-08-12 13:15:00,118,0
12401.0,84.3,5,2011-02-09 13:50:00,302,2
12402.0,225.6,11,2011-01-20 13:49:00,322,2
12403.0,409.7,6,2011-10-21 11:00:00,49,0
12405.0,1710.39,54,2011-07-14 08:52:00,148,2
12406.0,3280.75,108,2011-11-17 19:22:00,21,0
12407.0,1708.1200000000001,77,2011-10-21 10:11:00,49,0
12408.0,2842.57,113,2011-11-07 12:30:00,32,0
12409.0,11056.93,114,2011-09-22 10:38:00,78,0
12410.0,681.0799999999999,28,2011-02-11 15:47:00,300,2
12412.0,1226.88,61,2011-09-26 10:16:00,74,0
12413.0,694.15,40,2011-10-04 09:00:00,66,0
12414.0,562.41,18,2011-05-06 14:51:00,216,2
12415.0,123725.45,778,2011-11-15 14:22:00,23,1
12417.0,3578.8,198,2011-12-06 14:52:00,2,0
12418.0,668.58,34,2011-08-19 11:08:00,112,0
12420.0,600.39,29,2011-10-07 08:55:00,63,0
12421.0,806.27,46,2011-11-24 09:07:00,15,0
12422.0,803.5600000000001,39,2011-09-05 09:48:00,95,0
12423.0,1849.11,126,2011-12-09 10:10:00,0,0
12424.0,1760.96,30,2011-06-30 12:06:00,162,2
12425.0,777.2,36,2011-09-22 17:31:00,77,0
12426.0,582.73,30,2011-05-29 12:26:00,194,2
12427.0,708.37,35,2011-11-28 10:48:00,11,0
12428.0,7877.2,300,2011-11-14 08:22:00,25,0
12429.0,3750.4,97,2011-11-30 17:22:00,8,0
12430.0,256.4,11,2011-10-27 15:09:00,42,0
12431.0,6416.39,240,2011-11-04 11:55:00,35,0
12432.0,5059.32,108,2011-10-28 11:43:00,42,0
12433.0,13375.87,420,2011-12-09 10:02:00,0,0
12434.0,765.19,54,2011-09-16 12:38:00,84,0
12435.0,7829.89,36,2011-09-21 09:06:00,79,0
12436.0,509.01,16,2011-09-01 12:09:00,99,0
12437.0,4896.66,201,2011-12-08 11:35:00,1,0
12438.0,2906.85,98,2011-11-25 13:28:00,13,0
12441.0,173.55,11,2010-12-08 10:45:00,366,2
12442.0,172.06,12,2011-12-06 14:22:00,2,0
12444.0,5005.46,177,2011-11-18 13:23:00,20,0
12445.0,133.4,4,2011-11-17 18:43:00,21,0
12446.0,1002.3100000000001,58,2011-10-13 12:50:00,57,0
12447.0,476.49,26,2011-04-10 13:25:00,242,2
12448.0,449.45,22,2011-10-26 13:46:00,43,0
12449.0,4067.29,191,2011-11-17 13:46:00,21,0
12450.0,197.88,8,2011-07-06 14:41:00,155,2
12451.0,8933.52,355,2011-11-29 08:40:00,10,0
12452.0,428.57,23,2011-11-23 10:28:00,16,0
12453.0,707.09,43,2011-07-28 14:08:00,133,0
12454.0,5.684341886080802e-14,30,2011-10-17 15:07:00,52,0
12455.0,2466.86,90,2011-09-27 15:31:00,72,0
12456.0,3153.89,129,2011-10-26 14:41:00,43,0
12457.0,1917.78,68,2011-10-12 13:46:00,57,0
12458.0,947.4,38,2011-09-29 15:25:00,70,0
